Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x303,8.397,0,8,00,00,00,00,19,1B,1C,43
1,0x305,8.422,0,8,00,00,00,00,00,00,00,00
1,0x304,8.445,0,8,00,00,00,00,00,00,00,00
1,0x171,8.468,0,8,00,00,A3,CC,01,00,00,01
1,0x521,8.492,0,6,00,0C,FA,FF,FF,FF,00,00
1,0x305,8.515,0,8,00,00,00,00,00,00,00,00
1,0x0,8.538,0,8,00,00,00,00,00,00,00,28
1,0x170,8.561,0,3,01,00,00,41,10,AD,E4,41
1,0x521,8.584,0,6,00,0D,09,00,00,00,00,00
1,0x305,8.608,0,8,00,00,00,00,00,00,00,00
1,0x106,8.631,0,8,00,00,00,00,00,00,00,00
1,0x305,8.656,0,8,00,00,00,00,00,00,00,00
1,0x106,8.68,0,8,00,00,00,00,00,00,00,00
1,0x303,8.703,0,8,00,00,00,00,10,24,1C,43
1,0x305,8.726,0,8,00,00,00,00,00,00,00,00
1,0x303,8.749,0,8,00,00,00,00,8D,1E,1C,43
1,0x214,8.773,0,2,31,FF,B7,41,D0,70,E6,41
1,0x303,8.797,0,8,00,00,00,00,C1,10,1C,43
1,0x305,8.82,0,8,00,00,00,00,00,00,00,00
1,0x304,8.843,0,8,00,00,00,00,00,00,00,00
1,0x2,8.875,0,8,78,7A,78,00,00,00,00,00
1,0x304,8.914,0,8,00,00,00,00,00,00,00,00
1,0x305,8.937,0,8,00,00,00,00,00,00,00,00
1,0x304,8.96,0,8,00,00,00,00,00,00,00,00
1,0x0,8.983,0,8,00,00,00,00,00,00,00,28
1,0x170,9.007,0,3,01,00,00,00,00,00,00,00
1,0x13C033C6,9.03,0,1,00,41,B8,41,10,35,E8,41
1,0x305,9.053,0,8,00,00,00,00,00,00,00,00
1,0x6,9.076,0,8,FF,FF,01,50,99,99,00,00
1,0x214,9.099,0,2,32,FF,00,00,00,3D,25,00
1,0x305,9.122,0,8,00,00,00,00,00,00,00,00
1,0x303,9.148,0,8,00,00,00,00,24,32,1C,43
1,0x207,9.171,0,4,33,01,D8,00,00,3D,25,00
1,0x303,9.194,0,8,00,00,00,00,41,14,1C,43
1,0x305,9.217,0,8,00,00,00,00,00,00,00,00
1,0x303,9.24,0,8,00,00,00,00,10,24,1C,43
1,0x9,9.263,0,8,B3,CF,BF,00,00,3D,25,00
1,0x304,9.286,0,8,00,00,00,00,00,00,00,00
1,0x305,9.31,0,8,00,00,00,00,00,00,00,00
1,0x304,9.333,0,8,00,00,00,00,00,00,00,00
1,0x207,9.356,0,8,34,02,81,00,91,A1,00,00
1,0x170,9.379,0,3,02,00,00,00,00,00,00,00
1,0x305,9.407,0,8,00,00,00,00,00,00,00,00
1,0x106,9.433,0,8,00,00,00,00,00,00,00,00
1,0x6,9.456,0,8,FF,FF,01,50,99,99,00,00
1,0x215,9.479,0,8,34,B9,02,CF,00,83,07,00
1,0x303,9.502,0,8,00,00,00,00,AD,33,1C,43
1,0x305,9.525,0,8,00,00,00,00,00,00,00,00
1,0x5,9.548,0,8,00,00,00,D6,00,25,62,64
1,0x305,9.572,0,8,00,00,00,00,00,00,00,00
1,0x521,9.595,0,6,00,07,09,00,00,00,00,00
1,0x208,9.618,0,2,35,FF,B8,41,10,35,E8,41
1,0x5,9.643,0,8,00,00,00,D6,00,25,62,64
1,0x305,9.667,0,8,00,00,00,00,00,00,00,00
1,0x521,9.69,0,6,00,08,06,00,00,00,00,00
1,0x305,9.713,0,8,00,00,00,00,00,00,00,00
1,0x304,9.736,0,8,00,00,00,00,00,00,00,00
1,0x305,9.759,0,8,00,00,00,00,00,00,00,00
1,0x209,9.782,0,8,36,00,77,77,77,78,77,FF
1,0x20C,9.806,0,2,36,FF,75,FF,78,78,75,FF
1,0x215,9.829,0,8,36,00,77,76,77,76,77,FF
1,0x214,9.852,0,2,36,FF,B7,41,90,17,E9,41
1,0x171,9.878,0,8,00,00,CE,F4,01,00,00,01
1,0x305,9.901,0,8,00,00,00,00,00,00,00,00
1,0x106,9.924,0,8,00,00,00,00,00,00,00,00
1,0x0,9.948,0,8,00,00,00,00,00,00,00,28
1,0x207,9.972,0,8,37,02,88,00,98,A8,00,00
1,0x521,9.995,0,6,00,0B,0C,00,00,00,00,00
1,0x305,10.018,0,8,00,00,00,00,00,00,00,00
1,0x303,10.048,0,8,00,00,00,00,DA,21,1C,43
1,0x20C,10.086,0,2,37,FF,00,00,00,3D,25,00
1,0x303,10.118,0,8,00,00,00,00,FA,19,1C,43
1,0x305,10.157,0,8,00,00,00,00,00,00,00,00
1,0x303,10.19,0,8,00,00,00,00,9D,11,1C,43
1,0x0,10.232,0,8,00,00,00,00,00,00,00,28
1,0x304,10.264,0,8,00,00,00,00,00,00,00,00
1,0x305,10.311,0,8,00,00,00,00,00,00,00,00
1,0x304,10.337,0,8,00,00,00,00,00,00,00,00
1,0x305,10.36,0,8,00,00,00,00,00,00,00,00
1,0x304,10.383,0,8,00,00,00,00,00,00,00,00
1,0x305,10.407,0,8,00,00,00,00,00,00,00,00
1,0x305,10.43,0,8,00,00,00,00,00,00,00,00
1,0x303,10.46,0,8,00,00,00,00,3E,29,1C,43
1,0x304,10.487,0,8,00,00,00,00,00,00,00,00
1,0x207,10.51,0,8,38,02,81,00,91,A1,00,00
1,0x305,10.533,0,8,00,00,00,00,00,00,00,00
1,0x8,10.557,0,8,75,78,76,00,00,00,00,00
1,0x305,10.58,0,8,00,00,00,00,00,00,00,00
1,0x210,10.603,0,2,38,FF,B7,41,90,17,E9,41
1,0x305,10.626,0,8,00,00,00,00,00,00,00,00
1,0x0,10.649,0,8,00,00,00,00,00,00,00,28
