#datatype measurement,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#group false,false,false,false,false,false,false,false,false,false,false,false,false,false
#default _result,,,,,,,,,,,,,
tempoDoSistema,power,motor_power,torque,motor_rpm,voltage,motor_temp,controller_temp,accelerator,ready_to_drive,torque_request_disable,test_mode,regen_request,brake
26.83,0,0,-1000.0,-1000,0.8,31.9,31.4,0.0,0,1,1,0,0
26.934,0,0,-1000.0,-1000,1.2,31.9,31.4,0.0,0,1,1,0,0
26.979,0,0,-1000.0,-1000,0.8,31.9,31.4,0.0,0,1,1,0,0
27.083,0,0,-1000.0,-1000,0.8,31.9,31.4,0.0,0,1,1,0,0
27.125,0,0,-1000.0,-1000,0.7,31.9,31.4,0.0,0,1,1,0,0
27.256,0,0,-1000.0,-1000,0.7,31.9,31.4,0.0,0,1,1,0,0
27.402,0,0,-1000.0,-1000,0.8,32.0,31.5,0.0,0,1,1,0,0
27.446,0,0,-1000.0,-1000,1.0,31.9,31.5,0.0,0,1,1,0,0
27.549,0,0,-1000.0,-1000,1.0,31.9,31.5,0.0,0,1,1,0,0
27.698,0,0,-1000.0,-1000,0.9,31.8,31.5,0.0,0,1,1,0,0
27.74,0,0,-1000.0,-1000,0.9,31.8,31.5,0.0,0,1,1,0,0
27.782,0,0,-1000.0,-1000,0.9,31.9,31.5,0.0,0,1,1,0,0
27.824,0,0,-1000.0,-1000,0.9,31.9,31.5,0.0,0,1,1,0,0
27.931,0,0,-1000.0,-1000,0.9,31.9,31.5,0.0,0,1,1,0,0
27.972,0,0,-1000.0,-1000,0.8,32.1,31.4,0.0,0,1,1,0,0
28.077,0,0,-1000.0,-1000,0.8,32.1,31.4,0.0,0,1,1,0,0
28.226,0,0,-1000.0,-1000,0.8,32.1,31.5,0.0,0,1,1,0,0
28.375,0,0,-1000.0,-1000,0.8,32.1,31.5,0.0,0,1,1,0,0
28.48,0,0,-1000.0,-1000,0.8,32.1,31.5,0.0,0,1,1,0,0
28.521,0,0,-1000.0,-1000,0.8,32.1,31.5,0.0,0,1,1,0,0
28.629,0,0,-1000.0,-1000,0.8,32.1,31.5,0.0,0,1,1,0,0
28.67,0,0,-1000.0,-1000,0.8,32.0,31.5,0.0,0,1,1,0,0
28.777,0,0,-1000.0,-1000,0.8,32.0,31.5,0.0,0,1,1,0,0
28.923,0,0,-1000.0,-1000,0.7,32.0,31.5,0.0,0,1,1,0,0
29.072,0,0,-1000.0,-1000,0.7,32.0,31.5,0.0,0,1,1,0,0
29.221,0,0,-1000.0,-1000,0.7,32.1,31.5,0.0,0,1,1,0,0
